IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.16.97.137,157,193,166,20
104.16.93.66,166,245,181,20
104.16.91.6,155,170,162,30
104.18.174.159,157,171,163,30
104.16.86.143,162,187,167,30
104.16.44.53,155,194,169,30
104.18.170.250,180,198,186,30
104.16.101.250,155,171,161,40
104.16.118.209,159,183,168,40
104.19.224.134,159,193,172,40
