IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.21.74.19,196,213,204,10
172.67.228.245,175,271,211,10
104.21.42.96,179,286,222,10
104.21.64.171,194,296,232,10
104.21.221.182,193,299,233,10
104.21.5.221,187,288,237,10
104.21.192.113,188,293,242,10
172.67.131.21,199,293,242,10
